#result,duration(ms),initial_time,final_time
-1,45141,Sun Sep 22 19:26:54 BST 2019,Sun Sep 22 19:27:39 BST 2019
-1,52216,Sun Sep 22 19:41:02 BST 2019,Sun Sep 22 19:41:55 BST 2019
